habitat$species$size$shape1$shape2
humid$ustulatus$17.088$-0.029$0.021
humid$ustulatus$20.06$-0.001$0.001
humid$ustulatus$16.34$0.014$0.009
arid$calvus$13.734$-0.043$0.017
humid$nux$21.898$-0.042$0.007
humid$ustulatus$16.848$-0.023$-0.005
humid$ustulatus$19.162$0.014$0.016
humid$ustulatus$16.017$0.042$0.002
arid$galapaganus$18.894$0.011$-0.025
humid$nux$26.59$0$-0.014
arid$calvus$17.865$-0.024$0.001
arid$calvus$13.857$0.01$0.005
humid$nux$21.706$-0.03$-0.011
humid$ustulatus$15.354$-0.016$0.017
humid$unifasciatus$21.369$-0.092$-0.051
humid$nux$22.714$-0.033$0.016
arid$calvus$16.53$-0.004$-0.001
arid$calvus$16.604$-0.006$0.008
humid$ustulatus$16.292$-0.017$0.01
arid$calvus$16.075$0.01$0.013
arid$calvus$18.154$-0.003$-0.004
arid$invalidus$21.025$0.017$-0.003
arid$calvus$12.895$-0.039$0.028
humid$unifasciatus$25.046$-0.064$-0.068
humid$nux$23.227$-0.052$-0.01
arid$calvus$17.284$0.002$-0.007
humid$ustulatus$16.701$-0.034$-0.006
humid$nux$23.515$-0.027$-0.013
arid$galapaganus$21.903$0.092$-0.006
arid$galapaganus$17.314$0.073$0.013
arid$rugulosus$23.891$0.028$-0.054
arid$galapaganus$21.349$0.069$-0.002
humid$nux$24.946$-0.042$-0.02
arid$calvus$14.122$-0.027$0.028
humid$unifasciatus$28.467$-0.088$-0.05
humid$ustulatus$17.01$-0.018$0.012
humid$ustulatus$16.831$-0.02$0.021
humid$ustulatus$16.641$-0.033$0.006
arid$invalidus$20.244$-0.012$-0.002
humid$nux$22.042$-0.062$-0.006
humid$ustulatus$18.665$-0.019$0.01
arid$galapaganus$18.68$0.011$-0.029
arid$calvus$18.949$-0.026$-0.007
arid$calvus$16.933$-0.018$-0.01
humid$unifasciatus$20.399$-0.087$-0.05
humid$nux$22.907$-0.005$0.007
arid$galapaganus$18.265$0.119$-0.018
arid$rugulosus$24.269$0.04$-0.057
arid$galapaganus$20.704$-0.014$-0.014
humid$ustulatus$16.553$-0.014$0.011
arid$galapaganus$19.246$0.021$-0.017
humid$nux$24.894$-0.014$0.001
humid$nux$23.61$-0.022$0.008
arid$calvus$14.131$-0.016$0.022
humid$ustulatus$15.617$0.004$0.03
arid$invalidus$18.605$0.015$0
humid$ustulatus$18.343$-0.013$0.006
arid$calvus$19.34$-0.003$-0.004
arid$calvus$17.017$0.037$-0.013
humid$ustulatus$16.868$0.015$0.01
arid$galapaganus$17.814$0.087$-0.012
humid$ustulatus$16.311$0.016$-0.004
humid$ustulatus$17.066$-0.015$0.005
arid$calvus$15.386$-0.001$0.012
humid$nux$23.167$-0.01$-0.03
arid$calvus$21.272$-0.018$-0.016
humid$ustulatus$16.799$-0.032$-0.006
humid$ustulatus$17.383$-0.006$-0.004
humid$ustulatus$15.178$-0.01$0.026
humid$ustulatus$17.195$-0.019$0.003
arid$calvus$19.027$-0.009$-0.005
arid$calvus$15.011$-0$0.028
arid$rugulosus$23.723$0.036$-0.017
